Topic #1:
老师,甘阳,博雅,学院,双鸭山,李思涯,打人,院长,学生,学术,李老师,中国,教师,事情,唱片,一种,这件,革命,左派,青年教师,一点,水平,音乐,方式,动手,副教授,讲师,文章,评价,东西
0.0107,0.0106,0.0105,0.0082,0.0068,0.0055,0.0055,0.0053,0.005,0.0049,0.0047,0.0046,0.0038,0.0031,0.0027,0.0025,0.0024,0.0022,0.0022,0.0021,0.0019,0.0018,0.0016,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0014
Topic #2:
地铁,规划,中大,建筑,广州,号线,华农,中山大学,华工,影响,方案,中轴线,实验室,建设,换乘,反对,实验,华师,文物,施工,穿过,十号,仪器,南校区,拆迁,利益,大学,历史,八号,大学城
0.0148,0.0101,0.0101,0.009,0.0089,0.0077,0.0077,0.0067,0.0058,0.0056,0.0052,0.0049,0.0045,0.0037,0.0036,0.0034,0.0032,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0026,0.0026,0.0023,0.0021,0.002,0.002,0.0019
Topic #3:
全国,简单,高考,网管,题目,不难,考生,河北,高分,前端,技术,一卷,阿里,这道题,省份,满分,难题,语文,卷子,难度,化学,队长,队里,类题,副队,编制,导数,江西,大神,极限
0.0077,0.0063,0.0035,0.0032,0.0027,0.0022,0.002,0.002,0.0018,0.0015,0.0014,0.0012,0.0012,0.0012,0.0012,0.0012,0.001,0.001,0.001,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007
Topic #4:
同性恋,校长,支持,道德,绑架,社会,歧视,女生,反对,群体,中国,权利,出柜,回答,毕业典礼,学生,政治,性取向,正确,异性恋,事情,平权,彩虹,同志,自由,公开,平等,态度,真的,学校
0.0266,0.0191,0.0166,0.0111,0.0095,0.0068,0.0068,0.006,0.0055,0.0055,0.0048,0.0047,0.0045,0.0043,0.0043,0.0041,0.004,0.0039,0.0039,0.0038,0.0037,0.0036,0.0035,0.0033,0.003,0.0029,0.0029,0.0028,0.0028,0.0028
Topic #5:
粤语,普通话,老师,医院,广东,医生,患者,手术,广州,同学,家属,交流,中大,妻子,治疗,担心,丈夫,孩子,学生,希望,事情,情况,语言,谢先生,众筹,白话,轻松,真的,中山大学,检查
0.0185,0.0161,0.0112,0.0095,0.009,0.0089,0.0049,0.0047,0.0045,0.004,0.0036,0.0029,0.0029,0.0028,0.0026,0.0026,0.0025,0.0025,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0023,0.0023,0.0023,0.0022,0.002
Topic #6:
学校,学生,老师,大学,中大,同学,辅导员,事情,真的,社会,校方,中国,教育部,酒吧,责任,校园,希望,父母,家长,秋白,事件,孩子,中山大学,大学生,自由,这件,影响,教材,教育,发生
0.0214,0.0137,0.0092,0.0057,0.0055,0.0055,0.0047,0.0042,0.0036,0.0036,0.0036,0.0031,0.0028,0.0027,0.0026,0.0026,0.0026,0.0025,0.0025,0.0025,0.0025,0.0024,0.0024,0.0024,0.0022,0.0022,0.0021,0.0021,0.002,0.0018
Topic #7:
学校,宿舍,大学,北邮,真的,同学,人间,图书馆,地方,校区,中大,学生,喜欢,纪中,生活,感觉,大学城,学习,老师,事情,珠海,广州,时间,女生,高中,毕业,高考,两个,新生,回答
0.0124,0.0084,0.0061,0.0058,0.0057,0.0051,0.0049,0.0048,0.0047,0.0047,0.0046,0.0044,0.0042,0.0039,0.0038,0.0036,0.0033,0.0029,0.0029,0.0028,0.0027,0.0026,0.0026,0.0025,0.0025,0.0024,0.0022,0.0022,0.0021,0.002
Topic #8:
登山队,协会,训练,探协,中山,探险,白内障,雪山,山队,活动,社团,青光眼,户外,眼底,队员,视光,登山,参加,攀登,孙中山,露营,逸仙,收入,轻松,名字,角膜,手术,身体,户外运动,穿越
0.0048,0.0048,0.0046,0.0044,0.0031,0.003,0.0024,0.0022,0.002,0.002,0.0019,0.0019,0.0019,0.0017,0.0017,0.0016,0.0016,0.0014,0.0013,0.0013,0.0012,0.0012,0.0012,0.0011,0.0011,0.0011,0.0011,0.0011,0.001,0.0009
Topic #9:
专业,学校,学院,大学,中大,学生,中山大学,选择,校区,本科,发展,工作,学科,就业,深圳,老师,金融,毕业,广东,排名,华科,厦大,华工,考研,同学,不错,中山,建议,计算机,情况
0.0188,0.0148,0.0124,0.0101,0.0101,0.0066,0.0063,0.006,0.0054,0.0052,0.0051,0.005,0.005,0.0049,0.0048,0.0041,0.004,0.0038,0.0038,0.0037,0.0037,0.0037,0.0036,0.0035,0.0035,0.0033,0.0032,0.0032,0.0031,0.0031
Topic #10:
社工,考试,学生,复习,老师,真的,专业,学习,同学,时间,学校,平时,网络,学期,感觉,大学,工作,中心,上课,希望,期末,中大,作业,东西,师兄,努力,课程,一点,社会,生活
0.0092,0.0088,0.0085,0.0079,0.0079,0.0069,0.0063,0.0054,0.0052,0.0048,0.0048,0.0046,0.0043,0.0036,0.0036,0.0036,0.0036,0.0034,0.0031,0.0029,0.0028,0.0027,0.0026,0.0026,0.0025,0.0024,0.0024,0.0023,0.0023,0.0019
