Topic #1:
学校,自己,一个,没有,学生,这个,我们,不是,同性恋,校长,什么,就是,可以,问题,支持,你们,觉得,如果,但是,社会,不能,他们,事情,这样,同学,知道,应该,这种,因为,还是
0.0115,0.0086,0.0082,0.0082,0.008,0.0068,0.0068,0.0064,0.0062,0.0057,0.0054,0.0049,0.0049,0.0047,0.0045,0.0041,0.0041,0.0038,0.0037,0.0036,0.0035,0.0035,0.0035,0.0034,0.0033,0.0032,0.0031,0.0031,0.003,0.0029
Topic #2:
通信,电子,互联网,实践,通信工程,交互,永芳堂,电子信息,信息工程,原理,电路,项目,嵌入式,台湾,硬件,天河,实验,程序,设计,交换,汇丰,学期,韩国,创新,布匹,大學,信号处理,高频,天线,程序设计
0.0031,0.0031,0.0027,0.0026,0.0024,0.0024,0.002,0.002,0.0018,0.0017,0.0017,0.0017,0.0016,0.0015,0.0015,0.0015,0.0015,0.0012,0.0012,0.0011,0.0011,0.0011,0.001,0.001,0.001,0.001,0.0009,0.0009,0.0009,0.0009
Topic #3:
专业,社工,学院,这个,老师,一个,学生,我们,研究,可以,问题,自己,没有,本科,研究生,工作,就是,不是,方向,发展,考研,什么,中大,很多,如果,现在,还是,课程,学科,应该
0.0152,0.0093,0.0087,0.0073,0.0071,0.0066,0.0064,0.006,0.0053,0.0053,0.0047,0.0045,0.0044,0.0041,0.004,0.004,0.004,0.0037,0.0037,0.0035,0.0034,0.0034,0.0033,0.0032,0.0032,0.0031,0.003,0.003,0.0029,0.0028
Topic #4:
中山医,医学院,八年,北医,医院,东大,全国,中山医学院,医学,临床,医生,超算,附属,学医,简单,杜汶泽,高性能,考生,协和,中大医,年制,临床医学,五年制,淘汰,计算,抵制,题目,医科,不难,中山医科大学
0.0138,0.0116,0.0088,0.0079,0.0057,0.0057,0.0056,0.0053,0.0052,0.0049,0.0045,0.0041,0.0036,0.0034,0.0031,0.0029,0.0023,0.0019,0.0018,0.0018,0.0017,0.0017,0.0017,0.0017,0.0016,0.0014,0.0014,0.0013,0.0013,0.0012
Topic #5:
粤语,普通话,地铁,广州,规划,广东,建筑,中大,不会,号线,校园,我们,方案,影响,中轴线,问题,一个,学生,建设,实验室,所以,担心,交流,修车铺,拆迁,实验,南校区,仪器,语言,穿过
0.017,0.0143,0.0111,0.0108,0.008,0.0075,0.0064,0.0062,0.0055,0.0049,0.0042,0.0042,0.0041,0.0039,0.0037,0.0035,0.0032,0.0031,0.0031,0.0031,0.0026,0.0025,0.0025,0.0024,0.0024,0.0024,0.0023,0.0023,0.0022,0.0022
Topic #6:
自己,一个,我们,时候,没有,还是,就是,可以,考试,真的,复习,老师,学习,觉得,什么,但是,学校,同学,然后,不是,很多,这个,问题,知道,时间,因为,最后,还有,现在,平时
0.0089,0.0083,0.0081,0.0078,0.0071,0.0068,0.0062,0.0057,0.0054,0.0053,0.005,0.0048,0.0047,0.0045,0.0044,0.0044,0.0043,0.0043,0.0042,0.004,0.004,0.004,0.0039,0.0038,0.0038,0.0037,0.0036,0.0036,0.0036,0.0032
Topic #7:
学校,专业,大学,中大,还是,如果,可以,中山大学,一个,但是,学院,比较,的话,自己,广东,不是,没有,选择,很多,武大,这个,华工,中山,就业,什么,金融,排名,学科,所以,其他
0.0155,0.0116,0.0093,0.0085,0.0081,0.0079,0.0074,0.0067,0.006,0.0056,0.0053,0.0051,0.0049,0.0048,0.0047,0.0047,0.0047,0.0046,0.0043,0.0042,0.0041,0.004,0.0038,0.0038,0.0038,0.0037,0.0037,0.0036,0.0035,0.0035
Topic #8:
一个,校区,我们,老师,中大,自己,没有,学生,珠海,就是,什么,这个,学院,不是,深圳,学校,可以,大学,问题,觉得,知道,很多,还是,但是,宿舍,这样,时候,中山大学,同学,现在
0.0088,0.0087,0.0086,0.0074,0.0063,0.0062,0.0061,0.006,0.0059,0.0052,0.0049,0.0049,0.0047,0.0046,0.0045,0.0044,0.0042,0.004,0.0039,0.0039,0.0035,0.0033,0.0031,0.0031,0.0031,0.0031,0.0028,0.0027,0.0027,0.0027
Topic #9:
川大,合并,华西,四川,厦大,厦门大学,吉林大学,电子科,协会,登山队,探协,训练,成都,厦门,东北,地位,探险,四川大学,院系,调整,省内,长春,四川人,收分,并入,雪山,山队,成电,加入,更名
0.014,0.0066,0.0056,0.0044,0.0039,0.0032,0.0031,0.0031,0.003,0.0029,0.0026,0.0025,0.0021,0.0021,0.002,0.0019,0.0019,0.0018,0.0017,0.0016,0.0016,0.0016,0.0015,0.0015,0.0014,0.0013,0.0012,0.0012,0.0011,0.0011
Topic #10:
图书馆,考研,双鸭山,李思涯,汉语,甘阳,占座,座位,学院,华农,中山大学,助理,位置,海外,清书,大学,需求,自习室,金陵,燕都,教育,国际,自习,晋升,华南理工大学,放在,职称,山南,清理,收书
0.0137,0.0128,0.012,0.0064,0.0057,0.0054,0.0052,0.0043,0.0038,0.0036,0.003,0.0028,0.0027,0.0026,0.0025,0.0025,0.0023,0.0022,0.0022,0.0022,0.0022,0.002,0.002,0.0019,0.0019,0.0019,0.0018,0.0018,0.0017,0.0017
